pc_recv_time,frame_id,timestamp_ms,vtem_voltage_v,vm_voltage_v,va201_voltage_v,vbat_voltage_v
2026-03-23T14:39:19.654,88,19710,0.564,0.539,0.6,2.616
2026-03-23T14:39:19.665,89,19721,0.565,0.534,0.6,2.614
2026-03-23T14:39:19.679,90,19730,0.565,0.539,0.6,2.616
2026-03-23T14:39:19.695,91,19740,0.565,0.538,0.6,2.614
2026-03-23T14:39:19.695,92,19750,0.564,0.539,0.6,2.614
2026-03-23T14:39:19.707,93,19761,0.565,0.534,0.6,2.614
2026-03-23T14:39:19.730,94,19771,0.565,0.539,0.599,2.616
2026-03-23T14:39:19.730,95,19781,0.564,0.539,0.6,2.616
2026-03-23T14:39:19.730,96,19790,0.565,0.539,0.6,2.616
2026-03-23T14:39:19.749,97,19801,0.564,0.54,0.6,2.616
2026-03-23T14:39:19.763,98,19810,0.566,0.54,0.599,2.612
2026-03-23T14:39:19.764,99,19821,0.564,0.539,0.6,2.616
2026-03-23T14:39:19.793,100,19830,0.564,0.534,0.6,2.614
2026-03-23T14:39:19.794,101,19841,0.564,0.539,0.594,2.614
2026-03-23T14:39:19.794,102,19850,0.565,0.54,0.6,2.614
2026-03-23T14:39:19.798,103,19860,0.564,0.54,0.599,2.616
2026-03-23T14:39:19.827,104,19870,0.564,0.535,0.6,2.614
2026-03-23T14:39:19.827,105,19881,0.566,0.539,0.6,2.614
2026-03-23T14:39:19.827,106,19890,0.565,0.54,0.6,2.614
2026-03-23T14:39:19.846,107,19900,0.564,0.534,0.6,2.616
2026-03-23T14:39:19.861,108,19910,0.565,0.54,0.6,2.617
2026-03-23T14:39:19.890,109,19920,0.564,0.54,0.6,2.612
2026-03-23T14:39:19.891,110,19930,0.565,0.539,0.6,2.614
2026-03-23T14:39:19.891,111,19941,0.564,0.539,0.6,2.616
2026-03-23T14:39:19.894,112,19951,0.564,0.539,0.599,2.616
2026-03-23T14:39:19.895,113,19960,0.565,0.538,0.599,2.616
2026-03-23T14:39:19.910,114,19970,0.564,0.539,0.599,2.614
2026-03-23T14:39:19.925,115,19981,0.564,0.535,0.599,2.614
2026-03-23T14:39:19.945,116,19991,0.564,0.539,0.599,2.616
2026-03-23T14:39:19.961,117,20000,0.564,0.54,0.6,2.616
2026-03-23T14:39:19.961,118,20010,0.564,0.54,0.6,2.612
2026-03-23T14:39:19.965,119,20021,0.565,0.54,0.6,2.614
2026-03-23T14:39:19.992,120,20030,0.566,0.54,0.594,2.612
2026-03-23T14:39:20.011,121,20041,0.565,0.54,0.6,2.614
2026-03-23T14:39:20.027,122,20050,0.564,0.539,0.6,2.617
2026-03-23T14:39:20.027,123,20060,0.565,0.539,0.6,2.616
2026-03-23T14:39:20.027,124,20070,0.565,0.54,0.599,2.614
2026-03-23T14:39:20.061,125,20081,0.565,0.54,0.6,2.616
2026-03-23T14:39:20.062,126,20090,0.564,0.54,0.6,2.614
2026-03-23T14:39:20.062,127,20100,0.565,0.54,0.6,2.614
2026-03-23T14:39:20.062,128,20110,0.564,0.54,0.6,2.616
2026-03-23T14:39:20.062,129,20121,0.558,0.539,0.6,2.612
2026-03-23T14:39:20.098,130,20131,0.564,0.54,0.6,2.614
2026-03-23T14:39:20.099,131,20140,0.564,0.535,0.6,2.612
2026-03-23T14:39:20.099,132,20151,0.564,0.54,0.6,2.614
2026-03-23T14:39:20.099,133,20160,0.565,0.54,0.6,2.616
2026-03-23T14:39:20.142,134,20171,0.565,0.54,0.594,2.616
2026-03-23T14:39:20.142,135,20180,0.565,0.54,0.594,2.616
2026-03-23T14:39:20.144,136,20190,0.565,0.54,0.6,2.614
2026-03-23T14:39:20.156,137,20200,0.565,0.541,0.598,2.614
2026-03-23T14:39:20.203,138,20211,0.566,0.54,0.6,2.617
2026-03-23T14:39:20.204,139,20220,0.565,0.54,0.6,2.614
2026-03-23T14:39:20.204,140,20230,0.565,0.54,0.6,2.614
2026-03-23T14:39:20.204,141,20240,0.564,0.54,0.599,2.614
2026-03-23T14:39:20.204,142,20250,0.565,0.54,0.594,2.614
2026-03-23T14:39:20.239,143,20261,0.565,0.54,0.6,2.614
